bait,prey,complex,n_complex
Snu13,Prp8,U4/U6 x U5 tri-snRNP complex,28
Snu13,Smb1,U4/U6 x U5 tri-snRNP complex,28
Snu13,Smd1,U4/U6 x U5 tri-snRNP complex,28
Snu13,Smd2,U4/U6 x U5 tri-snRNP complex,28
Snu13,Smd3,U4/U6 x U5 tri-snRNP complex,28
Snu13,Sme1,U4/U6 x U5 tri-snRNP complex,28
Snu13,Smx2,U4/U6 x U5 tri-snRNP complex,28
Snu13,Smx3,U4/U6 x U5 tri-snRNP complex,28
Snu13,Snu114,U4/U6 x U5 tri-snRNP complex,28
Snu13,Snu23,U4/U6 x U5 tri-snRNP complex,28
Snu13,Snu66,U4/U6 x U5 tri-snRNP complex,28
Snu13,Spp381,U4/U6 x U5 tri-snRNP complex,28
Snu23,Brr2,U4/U6 x U5 tri-snRNP complex,28
Snu23,Dib1,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Snu23,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp18,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp3,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp31,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp38,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp4,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp6,U4/U6 x U5 tri-snRNP complex,28
Snu23,Prp8,U4/U6 x U5 tri-snRNP complex,28
Snu23,Smb1,U4/U6 x U5 tri-snRNP complex,28
Snu23,Smd1,U4/U6 x U5 tri-snRNP complex,28
Snu23,Smd2,U4/U6 x U5 tri-snRNP complex,28
Snu23,Smd3,U4/U6 x U5 tri-snRNP complex,28
Snu23,Sme1,U4/U6 x U5 tri-snRNP complex,28
Snu23,Smx2,U4/U6 x U5 tri-snRNP complex,28
Snu23,Smx3,U4/U6 x U5 tri-snRNP complex,28
Snu23,Snu114,U4/U6 x U5 tri-snRNP complex,28
Snu23,Snu13,U4/U6 x U5 tri-snRNP complex,28
Snu23,Snu66,U4/U6 x U5 tri-snRNP complex,28
Snu23,Spp381,U4/U6 x U5 tri-snRNP complex,28
Snu66,Brr2,U4/U6 x U5 tri-snRNP complex,28
Snu66,Dib1,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Snu66,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp18,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp3,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp31,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp38,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp4,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp6,U4/U6 x U5 tri-snRNP complex,28
Snu66,Prp8,U4/U6 x U5 tri-snRNP complex,28
Snu66,Smb1,U4/U6 x U5 tri-snRNP complex,28
Snu66,Smd1,U4/U6 x U5 tri-snRNP complex,28
Snu66,Smd2,U4/U6 x U5 tri-snRNP complex,28
Snu66,Smd3,U4/U6 x U5 tri-snRNP complex,28
Snu66,Sme1,U4/U6 x U5 tri-snRNP complex,28
Snu66,Smx2,U4/U6 x U5 tri-snRNP complex,28
Snu66,Smx3,U4/U6 x U5 tri-snRNP complex,28
Snu66,Snu114,U4/U6 x U5 tri-snRNP complex,28
Snu66,Snu13,U4/U6 x U5 tri-snRNP complex,28
Snu66,Snu23,U4/U6 x U5 tri-snRNP complex,28
Snu66,Spp381,U4/U6 x U5 tri-snRNP complex,28
Spp381,Brr2,U4/U6 x U5 tri-snRNP complex,28
Spp381,Dib1,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Spp381,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp18,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp3,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp31,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp38,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp4,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp6,U4/U6 x U5 tri-snRNP complex,28
Spp381,Prp8,U4/U6 x U5 tri-snRNP complex,28
Spp381,Smb1,U4/U6 x U5 tri-snRNP complex,28
Spp381,Smd1,U4/U6 x U5 tri-snRNP complex,28
Spp381,Smd2,U4/U6 x U5 tri-snRNP complex,28
Spp381,Smd3,U4/U6 x U5 tri-snRNP complex,28
Spp381,Sme1,U4/U6 x U5 tri-snRNP complex,28
Spp381,Smx2,U4/U6 x U5 tri-snRNP complex,28
Spp381,Smx3,U4/U6 x U5 tri-snRNP complex,28
Spp381,Snu114,U4/U6 x U5 tri-snRNP complex,28
Spp381,Snu13,U4/U6 x U5 tri-snRNP complex,28
Spp381,Snu23,U4/U6 x U5 tri-snRNP complex,28
Spp381,Snu66,U4/U6 x U5 tri-snRNP complex,28
Cdc14,Net1,RENT complex,3
Cdc14,Sir2,RENT complex,3
Net1,Cdc14,RENT complex,3
Net1,Sir2,RENT complex,3
Sir2,Cdc14,RENT complex,3
Sir2,Net1,RENT complex,3
Gcd10,Gcd14,Gcd10p/Gcd14p complex,2
Gcd14,Gcd10,Gcd10p/Gcd14p complex,2
Lea1,Msl1,U2 snRNP complex,18
Lea1,Rse1,U2 snRNP complex,18
Lea1,Hsh155,U2 snRNP complex,18
Lea1,Ist3,U2 snRNP complex,18
Lea1,Hsh49,U2 snRNP complex,18
Lea1,Prp9,U2 snRNP complex,18
Lea1,Prp11,U2 snRNP complex,18
Lea1,Prp21,U2 snRNP complex,18
Lea1,Cus1,U2 snRNP complex,18
Lea1,Cus2,U2 snRNP complex,18
Lea1,Smb1,U2 snRNP complex,18
Lea1,Smd1,U2 snRNP complex,18
Lea1,Smd2,U2 snRNP complex,18
Lea1,Smd3,U2 snRNP complex,18
Lea1,Sme1,U2 snRNP complex,18
Lea1,Smx2,U2 snRNP complex,18
Lea1,Smx3,U2 snRNP complex,18
Msl1,Lea1,U2 snRNP complex,18
Msl1,Rse1,U2 snRNP complex,18
Msl1,Hsh155,U2 snRNP complex,18
Msl1,Ist3,U2 snRNP complex,18
Msl1,Hsh49,U2 snRNP complex,18
Msl1,Prp9,U2 snRNP complex,18
Msl1,Prp11,U2 snRNP complex,18
Msl1,Prp21,U2 snRNP complex,18
Msl1,Cus1,U2 snRNP complex,18
Msl1,Cus2,U2 snRNP complex,18
Msl1,Smb1,U2 snRNP complex,18
Msl1,Smd1,U2 snRNP complex,18
