source,target,Functionality
Dis3,Arp2,Degradation
Dis3,Hri1,Degradation
Dis3,Ecm16,Degradation
Dis3,Ski2,Degradation
Dis3,Cpr6,Degradation
Dis3,Rrp9,Degradation
Dis3,Ths1,Degradation
Dis3,Aro1,Degradation
Dis3,Pno1,Degradation
Dis3,Ala1,Degradation
Dis3,Egd1,Degradation
Dis3,Top2,Degradation
Dis3,Utp8,Degradation
Dis3,Idp1,Degradation
Dis3,Ape1,Degradation
Dis3,Gdh1,Degradation
Dis3,Rrp40,Degradation
Dis3,Eno1,Degradation
Dis3,Rpl36b,Degradation
Dis3,Rps12,Degradation
Dis3,Tpi1,Degradation
Dis3,Rpl18a,Degradation
Dis3,Ski3,Degradation
Dis3,Pbp4,Degradation
Dis3,Rrp43,Degradation
Dis3,Pup2,Degradation
Dis3,Rps2,Degradation
Dis3,Rrp4,Degradation
Dis3,Tma19,Degradation
Dis3,Vph1,Degradation
Dis3,Crm1,Degradation
Dis3,Hyp2,Degradation
Dis3,Pet9,Degradation
Dis3,Rrp6,Degradation
Dis3,Aro8,Degradation
Dis3,Rps26a,Degradation
Dis3,Rpl43a,Degradation
Dis3,Mae1,Degradation
Dis3,Rps28a,Degradation
Dis3,Sui3,Degradation
Fal1,Cys4,Multiple
Fal1,Rps28a,Multiple
Fal1,Sec53,Multiple
Fal1,Eno1,Multiple
Fal1,Cys3,Multiple
Fal1,Fba1,Multiple
Fal1,Pgi1,Multiple
Fal1,Cdc60,Multiple
Fal1,Ade1,Multiple
Fal1,Tal1,Multiple
Fal1,Tdh3,Multiple
Fal1,Ala1,Multiple
Fal1,Ipp1,Multiple
Fal1,Hom6,Multiple
Fal1,Tpi1,Multiple
Fal1,Ade13,Multiple
Fal1,Hyp2,Multiple
Fal1,Shm2,Multiple
Fal1,Ade17,Multiple
Fal1,Tif1,Multiple
Fal1,Rnr4,Multiple
Fal1,Rps29b,Multiple
Fal1,Ahp1,Multiple
Fal1,Tkl1,Multiple
Fal1,Fas1,Multiple
Nmd2,Rnr2,Export
Nmd2,Upf3,Export
Nmd2,Nvj2,Export
Nmd2,Cad1,Export
Nmd2,Bcs1,Export
Nmd2,Pab1,Export
Nmd2,Nam7,Export
Nmd2,Hsp104,Export
Nmd2,Tdh3,Export
Nmd2,Rpl9b,Export
Nmd2,Sui2,Export
Nmd2,Arf1,Export
Nmd2,Ald6,Export
Nmd2,Gsp1,Export
Nmd2,Hsc82,Export
Nmd2,Grs1,Export
Nmd2,Ssz1,Export
Nmd2,Rpa190,Export
Nmd2,Fpr3,Export
Nmd2,Rnr4,Export
Nmd2,Sam1,Export
Nmd2,Ipp1,Export
Nmd2,Aha1,Export
Nmd2,Tif1,Export
Nmd2,Eno1,Export
Upf3,Cof1,Multiple
Upf3,Nmd2,Multiple
Upf3,Apa1,Multiple
Upf3,Hyp2,Multiple
Upf3,Imd3,Multiple
Upf3,Gsp1,Multiple
Upf3,Spe3,Multiple
Upf3,Erg13,Multiple
Upf3,Ipp1,Multiple
Upf3,Atp1,Multiple
Upf3,Tal1,Multiple
Upf3,Eno1,Multiple
Upf3,Eno2,Multiple
Upf3,Tdh3,Multiple
Upf3,Gus1,Multiple
Upf3,Hsp104,Multiple
Upf3,Gpm1,Multiple
Upf3,Ahp1,Multiple
Upf3,Shm2,Multiple
Upf3,Hxk2,Multiple
Upf3,Tif1,Multiple
Upf3,Pfk2,Multiple
Upf3,Ura1,Multiple
Upf3,Oye2,Multiple
Upf3,Tpi1,Multiple
Upf3,Pgk1,Multiple
Upf3,Tdh2,Multiple
Upf3,Guk1,Multiple
Upf3,Adh1,Multiple
Upf3,Vas1,Multiple
Upf3,Ade17,Multiple
Upf3,Gpp1,Multiple
Upf3,Cpr1,Multiple
Upf3,Pgi1,Multiple
Upf3,Adk1,Multiple
Upf3,Pdc1,Multiple
Upf3,Cdc19,Multiple
Upf3,Pab1,Multiple
Upf3,Sah1,Multiple
Upf3,Hsp60,Multiple
Upf3,Eft1,Multiple
Upf3,Fba1,Multiple
Upf3,Wtm1,Multiple
Upf3,Tkl1,Multiple
Upf3,Ded81,Multiple
Upf3,Hom6,Multiple
Upf3,Stm1,Multiple
Upf3,Cys3,Multiple
Upf3,Mmf1,Multiple
Upf3,Rnr4,Multiple
Upf3,Pfk1,Multiple
Upf3,Arf1,Multiple
Upf3,Gln1,Multiple
Upf3,Hsc82,Multiple
Upf3,Hsp26,Multiple
Upf3,Ade13,Multiple
Upf3,Adh3,Multiple
Upf3,Ilv5,Multiple
Upf3,Fas2,Multiple
Upf3,His4,Multiple
Upf3,Fas1,Multiple
Upf3,Atp2,Multiple
Upf3,Ths1,Multiple
Upf3,Tub1,Multiple
Upf3,Dps1,Multiple
Upf3,Ils1,Multiple
Upf3,Ssz1,Multiple
Upf3,Ade1,Multiple
Upf3,YHR020W,Multiple
Upf3,YNL010W,Multiple
Tif4631,Cdc33,Multiple
Tif4631,Rrp5,Multiple
